The author's high score is better than the current Global High Score
(GHS) for the following 149 levels:   

 ===================================================================
| Levels Collection                   | Current GHS  | Author's HS  |
| 0616  Flags' fiesta6790             |   114    75  |    60    60  |
| 0618  Spin Logic                    |     1   262  |     1   257  |
| 0622  Celtic Cross                  |   997   259  |   935   299  |
| 0623  Wallflowers                   |   307   196  |   270   193  |
| 0626  Playing Chess on Red Carpet   |  1323   149  |  1245   142  |
| 0637  without death                 |   384   202  |   379   219  |
| 0639  E pur si muove! (tutti)       |    77   216  |    75   216  |
| 0653  All you need is a bridge      |  1111   400  |  1071   399  |
| 0663  Dangerous Railway =_=         |   124    99  |   116    99  |
| 0664  Robot Robot go go go          |  1055   255  |   899   203  |
| 0671  Anomala corpulenta            |  1818   286  |  1467   297  |
| 0708  Eight Queens Puzzle           |   237   169  |   231   157  |
| 0709  Sliding Tile Puzzle           |   345   101  |   154    65  |
| 0714  Lasertank on  ice 2021        |  1848   661  |   942   317  |
| 0719  through departing 2           |   698   292  |   534   305  |
| 0726  InDecisions                   |   260   151  |   237   146  |
 ===================================================================
 ===================================================================
| Levels Collection                   | Current GHS  | Author's HS  |
| Sokoban-II        [ 53 levels ]     | MOVES  SHOTS | MOVES  SHOTS |
|-------------------------------------|--------------|--------------|
| 0283  Le fou du roi                 |   331   123  |   285   125  |
| 0426  Le Sans Souci                 |    99    81  |    83    78  |
| 0428  Tchou tchou                   |   630   165  |   395   135  |
| 0434  Double X-bar                  |   706   255  |   522   251  |
| 0436  Sans Le Sou                   |   194   110  |   183   116  |
| 0828  Romário                       |  1134   455  |  1030   448  |
| 0884  without extract               |   730   395  |   728   393  |
| 0918  !!!!Don't worry, be happy!!!! |   159   104  |   139   105  |
| 0921  le magicien de Monte-Carlo    |   597   185  |   591   200  |
| 0947  Level Variation 42            |   139    89  |   113    75  |
| 0948  Level Variation 43            |   437   132  |   210   206  |
| 1061  bucolic dagger 2              |   235   287  |   226   245  |
| 1109  4 solutions impossibles       |   369   152  |   335   154  |
| 1111  Spiral Seduction              |  1180   262  |  1028   272  |
| 1289  Petit Tableau 150             |   162   188  |   158   174  |
| 1291  Au bon moment                 |   256   288  |    88    83  |
| 1292  UNINVOLVED in PEACE           |   575   213  |   307   162  |
| 1387  bucolic starter               |   223    69  |   210    63  |
| 1395  Seductores Artistas           |   662   658  |   263   311  |
| 1396  Level Variation 60            |  1573   104  |  1161   106  |
| 1400  à la Gary-XI                  |   325    88  |   219    90  |
| 1402  Les souks d'Alep              |  1455   253  |  1052   239  |
| 1413  Closing ceremony              |   255    83  |   178    94  |
| 1427  through terracing 2           |   878   473  |   798   475  |
| 1437  Blocks watering               |   675   268  |   510   395  |
| 1452  Bermuda Prison                |  1005   990  |   909   972  |
| 1454  bucolic raven                 |   857   339  |   708   311  |
| 1455  & if there is an LT 11 cmdt?  |  1236   410  |   990   443  |
| 1456  à la Gary-XIII                |   959   343  |   809   351  |
| 1457  Arc-boutement                 |  3378  3875  |   815   599  |
| 1459  Chaenomeles japonica          |  1010   242  |   721   201  |
| 1461  kelvinator party              |   167    58  |   113    52  |
| 1462  M14 block is not in crystal ! |  1172   286  |  1172   278  |
| 1472  More gathering 2              |  1185  1040  |  1098  1175  |
| 1482  The Oh No Zone                |   367   108  |   252   100  |
| 1531  Colic Bermuda 2               |   433   200  |   289   189  |
| 1579  through annexing              |   424   324  |   344   283  |
| 1582  bucolic gleam                 |   740   290  |   646   281  |
| 1583  DroppingBermuda               |  1258   461  |  1064   486  |
| 1595  Arrêt dans l'état initial     |   688   274  |   542   242  |
| 1598  Autofahrerin                  |   187   313  |   162   277  |
| 1599  Baumwollkleid                 |   414   341  |   328   264  |
| 1604  bucolic stagger               |   368   327  |   330   313  |
| 1613  Amazing Moves v2              |  1227   351  |   999   410  |
| 1623  without arrest                |   609   375  |   361   333  |
| 1624  Devil's Dozen 2               |  1020   362  |   930   360  |
| 1625  Down The Tube 2               |   660   387  |   451   405  |
| 1628  bucolic death                 |   279   235  |   225   208  |
| 1632  bucolic manner 3              |   379   351  |   343   320  |
| 1633  Playground of the Damned      |  1824   631  |  1290   511  |
| 1638  The little rabbit             |  1083   428  |   918   436  |
| 1639  through retarding 2           |   543   266  |   471   305  |
| 1645  bucolic death 2               |   261   195  |   224   208  |
 ===================================================================
